Id,Label,timeset,modularity_class,eigencentrality
1098,,,2,0.054697
1099,,,68,0.001093
1100,,,2,0.007989
1101,,,9,0.004404
1102,,,365,0.000821
1103,,,266,0.000821
1104,,,266,0.073348
1105,,,15,0.009274
1106,,,9,0.006287
1107,,,18,0.028969
1108,,,36,0.022492
1109,,,27,0.022669
1110,,,18,0.002298
1111,,,18,0
1112,,,36,0
1113,,,18,0.009104
1114,,,136,0.070385
1115,,,4,0
1116,,,27,0
1117,,,29,0.001367
1118,,,29,0.054492
1119,,,15,0.085436
1120,,,12,0.02959
1121,,,8,0.071495
1122,,,4,0
1123,,,26,0.006556
1124,,,4,0.019637
1125,,,2,0.000821
1126,,,201,0.020191
1127,,,201,0
1128,,,15,0.052848
1129,,,0,0.006073
1130,,,14,0.005028
1131,,,136,0.027933
1132,,,27,0.026874
1133,,,27,0
1134,,,29,0
1135,,,27,0
1136,,,201,0.036501
1137,,,9,0.204631
1138,,,41,0.043135
1139,,,40,0.004993
1140,,,15,0.001405
1141,,,26,0.724482
1142,,,365,0
1143,,,3,0
1144,,,20,0.00571
1145,,,8,0.113263
1146,,,37,0
1147,,,37,0.003028
1148,,,37,0
1149,,,15,0
1150,,,6,0
1151,,,7,0
1152,,,186,0.016843
1153,,,0,0.039303
1154,,,37,0.06341
1155,,,15,0
1156,,,15,0.008781
1157,,,2,0
1158,,,86,0.00613
1159,,,86,0
1160,,,365,0.005688
1161,,,266,0.00308
1162,,,365,0.055364
1163,,,365,0.000821
1164,,,2,0
1165,,,9,0.112049
1166,,,21,0.011488
1167,,,21,0.003333
1168,,,9,0.015632
1169,,,16,0
1170,,,2,0.022953
1171,,,9,0.00325
1172,,,365,0
1173,,,20,0
1174,,,186,0
1175,,,36,0.000821
1176,,,9,0
1177,,,2,0.01503
1178,,,136,0
1179,,,201,0
1180,,,36,0.001268
1181,,,4,0
1182,,,4,0.046635
1183,,,4,0
1184,,,30,0.140922
1185,,,24,0.003942
1186,,,24,0.001976
1187,,,24,0
1188,,,365,0
1189,,,365,0.236753
1190,,,47,0
1191,,,47,0.021585
1192,,,8,0.218989
1193,,,47,0.0026
1194,,,13,0
1195,,,13,0.008201
1196,,,365,0.051183
1197,,,4,0.014903
1198,,,5,0.029874
1199,,,4,0
1200,,,15,0.036195
1201,,,17,0
1202,,,15,0.013018
1203,,,365,0.024413
1204,,,365,0
1205,,,81,0
1206,,,81,0.004338
1207,,,29,0.053024
1208,,,29,0.014687
1209,,,29,0.003039
1210,,,9,0.012567
1211,,,34,0.000821
1212,,,26,0.017088
1213,,,36,0.067372
1214,,,36,0.050123
1215,,,68,0
1216,,,4,0.003235
1217,,,4,0
1218,,,365,0.174091
1219,,,365,0.089423
1220,,,19,0.321854
1221,,,3,0.038411
1222,,,365,0.052331
1223,,,81,0.027126
1224,,,6,0.057814
1225,,,6,0
1226,,,15,0.024989
1227,,,27,0.04112
1228,,,21,0.551533
1229,,,4,0
1230,,,4,0.011184
1231,,,18,0
1232,,,18,0.00314
1233,,,6,0.000957
1234,,,365,0.005576
1235,,,44,0
1236,,,36,0.152341
1237,,,36,0.080928
1238,,,27,0.044718
1239,,,68,0
1240,,,68,0.001643
1241,,,8,0
1242,,,36,0.023854
1243,,,8,0
1244,,,15,0.048066
1245,,,41,0
1246,,,31,0.025267
1247,,,3,0.052806
1248,,,3,0
1249,,,86,0.01355
1250,,,81,0.022322
1251,,,31,0
1252,,,365,0
1253,,,15,0
1254,,,13,0.008937
1255,,,365,0
1256,,,15,0.048967
1257,,,15,0.009966
1258,,,27,0.008324
1259,,,6,0
1260,,,6,0.07183
1261,,,186,0
1262,,,29,0
1263,,,34,0.00957
1264,,,14,0.001663
1265,,,9,0
1266,,,4,0.105011
1267,,,19,0.033817
1268,,,4,0
1269,,,26,0.017205
1270,,,365,0.019679
1271,,,365,0
1272,,,37,0.001643
1273,,,365,0.008557
1274,,,365,0
1275,,,15,0.000821
1276,,,2,0.105554
1277,,,37,0
1278,,,2,0
1279,,,27,0
1280,,,365,0
1281,,,47,0.084435
1282,,,3,0.009276
1283,,,4,0.003291
1284,,,4,0
1285,,,41,0.065817
1286,,,4,0
1287,,,4,0.007441
1288,,,21,0
1289,,,7,0.11108
1290,,,7,0.012939
1291,,,27,0.008172
1292,,,5,0
1293,,,9,0.036219
1294,,,17,0.052879
1295,,,15,0.142091
1296,,,11,0.037075
1297,,,8,0.01514
1298,,,8,0.013927
1299,,,41,0.004219
1300,,,29,0
1301,,,29,0.005315
1302,,,29,0
1303,,,30,0.016232
1304,,,34,0.001458
1305,,,9,0.164301
1306,,,15,0.001383
1307,,,47,0.029777
1308,,,47,0.003352
1309,,,6,0.002161
1310,,,15,0.031774
1311,,,15,0.002818
1312,,,36,0.033075
1313,,,27,0
1314,,,27,0.042833
1315,,,68,0
1316,,,68,0.000821
1317,,,81,0.145511
1318,,,3,0.05292
1319,,,81,0.00326
1320,,,15,0.003947
1321,,,31,0.006303
1322,,,9,0.044692
1323,,,6,0.027505
1324,,,27,0.000821
1325,,,27,0.000957
1326,,,16,0.025433
1327,,,17,0.043414
1328,,,11,0
1329,,,15,0.009857
1330,,,27,0.010198
1331,,,37,0.382409
1332,,,365,0.026133
1333,,,2,0.039558
1334,,,37,0.118275
1335,,,4,0.056622
1336,,,365,0
1337,,,365,0
1338,,,20,0
1339,,,26,0
1340,,,6,0.005403
1341,,,136,0
1342,,,34,0.002464
